Title,Authors,Year,Cited by
"“So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy",Dwivedi Y.K.; Kshetri N.; Hughes L.; Slade E.L.; Jeyaraj A.; Kar A.K.; Baabdullah A.M.; Koohang A.; Raghavan V.; Ahuja M.; Albanna H.; Albashrawi M.A.; Al-Busaidi A.S.; Balakrishnan J.; Barlette Y.; Basu S.; Bose I.; Brooks L.; Buhalis D.; Carter L.; Chowdhury S.; Crick T.; Cunningham S.W.; Davies G.H.; Davison R.M.; Dé R.; Dennehy D.; Duan Y.; Dubey R.; Dwivedi R.; Edwards J.S.; Flavián C.; Gauld R.; Grover V.; Hu M.-C.; Janssen M.; Jones P.; Junglas I.; Khorana S.; Kraus S.; Larsen K.R.; Latreille P.; Laumer S.; Malik F.T.; Mardani A.; Mariani M.; Mithas S.; Mogaji E.; Nord J.H.; O'Connor S.; Okumus F.; Pagani M.; Pandey N.; Papagiannidis S.; Pappas I.O.; Pathak N.; Pries-Heje J.; Raman R.; Rana N.P.; Rehm S.-V.; Ribeiro-Navarrete S.; Richter A.; Rowe F.; Sarker S.; Stahl B.C.; Tiwari M.K.; van der Aalst W.; Venkatesh V.; Viglia G.; Wade M.; Walton P.; Wirtz J.; Wright R.,2023,1502
What if the devil is my guardian angel: ChatGPT as a case study of using chatbots in education,Tlili A.; Shehata B.; Adarkwah M.A.; Bozkurt A.; Hickey D.T.; Huang R.; Agyemang B.,2023,646
What Is the Impact of ChatGPT on Education? A Rapid Review of the Literature,Lo C.K.,2023,626
Chatbots for learning: A review of educational chatbots for the Facebook Messenger,Smutny P.; Schreiberova P.,2020,399
Chatbots applications in education: A systematic review,Okonkwo C.W.; Ade-Ibijola A.,2021,338
ChatGPT and a new academic reality: Artificial Intelligence-written research papers and the ethics of the large language models in scholarly publishing,Lund B.D.; Wang T.; Mannuru N.R.; Nie B.; Shimray S.; Wang Z.,2023,336
A review of opportunities and challenges of chatbots in education,Hwang G.-J.; Chang C.-Y.,2023,182
Artificial Intelligence (AI) Student Assistants in the Classroom: Designing Chatbots to Support Student Success,Chen Y.; Jensen S.; Albert L.J.; Gupta S.; Lee T.,2023,174
Transformative effects of ChatGPT on modern education: Emerging Era of AI Chatbots,Gill S.S.; Xu M.; Patros P.; Wu H.; Kaur R.; Kaur K.; Fuller S.; Singh M.; Arora P.; Parlikad A.K.; Stankovski V.; Abraham A.; Ghosh S.K.; Lutfiyya H.; Kanhere S.S.; Bahsoon R.; Rana O.; Dustdar S.; Sakellariou R.; Uhlig S.; Buyya R.,2024,165
Student learning benefits of a mixed-reality teacher awareness tool in AI-enhanced classrooms,Holstein K.; McLaren B.M.; Aleven V.,2018,141
